principal_name_En,nationality,city,agency_type,status,activity,date
Botil oil tools india private limited (botil) ,هندي,الدمام,,قائمة,,2019
Astava b.v.,هولندي,الدمام,,قائمة,,2019
Mujezat al-shifa company,كويتي,الرياض,,قائمة,,2019
Reform sports sistemleri ve insaat sanayi ticaret limited,تركي,الرياض,,قائمة,,2019
Redax s.p.a,ايطالي,الرياض,,قائمة,,2019
Silverwell energy limited,بريطاني,الدمام,,قائمة,,2019
Gerolymatos international s.a;,يونانيه,الرياض,,قائمة,,2019
"Rhine lift manufacture co., ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Psi pipeline services international gmbh & co. kg,الماني,الدمام,,قائمة,,2019
Voith turbo gmbh & co.kg,الماني,جده,,قائمة,,2019
Butterfly edufields pvt ltd ,هندي,الرياض,,قائمة,,2019
Josen premium llc,امريكي,الدمام,,قائمة,,2019
Alcea,فرنسي,الدمام,,قائمة,,2019
Taylor hobson trading as solatron isa,بريطاني,الدمام,,قائمة,,2019
Dan food group company,كويتي,الرياض,,قائمة,,2019
Nxstage medical,امريكي,الرياض,,قائمة,,2019
Becton dickinson b v,بلجيكي,الرياض,,قائمة,,2019
Dpk pharma ,مصري,الرياض,,قائمة,,2019
Nabil foods company,اردني,الرياض,,قائمة,,2019
Medinfo international hemoservice sa     ,فرنسي,الرياض,,قائمة,,2019
Hcs hydrocarbon solution llc  ,اماراتي,الرياض,,قائمة,,2019
Shilchar technologies limited,هندي,الدمام,,قائمة,,2019
Fire and maritime training center,هولندي,الدمام,,قائمة,,2019
Bayerische kabelwerke ag,الماني,الدمام,,قائمة,,2019
International pharmaceutical research and development company - social international,مصري,الرياض,,قائمة,,2019
"Z.i.chemicales,usa",امريكي,الرياض,,قائمة,,2019
Ivoclar vivadent ag,سويسري,الرياض,,قائمة,,2019
Tde international limited,اماراتي,الدمام,,قائمة,,2019
Technisch bureau dahlman b.v.,هولندي,الدمام,,قائمة,,2019
Delta food industries,اماراتي,الرياض,,قائمة,,2019
Melba coffee and tea co. pty ltd,استرالي,الرياض,,قائمة,,2019
"Zhongshan kingway lmage tech co,ltd",صينيه وطنيه - تايوان,الرياض,,قائمة,,2019
G. pachopos sa cosmetics,يونانيه,الرياض,,قائمة,,2019
L s o medical,فرنسي,الرياض,,قائمة,,2019
Bioveta a.s,تشيكي,الرياض,,قائمة,,2019
Spiro medical as,نرويجيه,الرياض,,قائمة,,2019
Chengdu deep diamond bit co. ltd,الصين الشعبيه,الدمام,,قائمة,,2019
Fentex medical gmbh,الماني,الرياض,,قائمة,,2019
"Liaoning ever metal forming tech co, ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Profeta limited copany,بريطاني,الرياض,,قائمة,,2019
Reservoir link solutions sdn bhd,ماليزي,الدمام,,قائمة,,2019
Segway inc.,امريكي,الرياض,,قائمة,,2019
Bri well services as,نرويجيه,الدمام,,قائمة,,2019
Global maritime consultancy ltd.,بريطاني,الدمام,,قائمة,,2019
Veave technologies ,هندي,جده,,قائمة,,2019
Dbk pharma,مصري,الرياض,,قائمة,,2019
Select partners,فرنسي,الرياض,,قائمة,,2019
Sledgehammer oil tools pvt ltd,هندي,الدمام,,قائمة,,2019
Eppendorf ag,الماني,الدمام,,قائمة,,2019
"""sana pharmaceutical research ""sana pharma",اردني,الرياض,,قائمة,,2019
Eemagine medical imagine solutions gmbh,الماني,جده,,قائمة,,2019
Leica mikrosysteme vertrieb gmbh,الماني,الرياض,,قائمة,,2019
"Chengdu mechan electronice technology co., ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Shandong dongxin new materials technology co. ltd.,الصين الشعبيه,الدمام,,قائمة,,2019
Penti corap sanayi ve ticaret anonim sirketi,تركي,الرياض,,قائمة,,2019
Both-well steel fittings co ltd,صينيه وطنيه - تايوان,الدمام,,قائمة,,2019
Acme chemicals (malaysia)sdn bhd,ماليزي,الدمام,,قائمة,,2019
Nutrifarm-an.tsompanidis&co e.e,يونانيه,جده,,قائمة,,2019
Paragon 28 medical devices trading limited,ايرلندي,الرياض,,قائمة,,2019
Solvay chemicals international s.a.,بلجيكي,الدمام,,قائمة,,2019
Tatera perfumes ,كويتي,الدمام,,قائمة,,2019
Mokveld valves bv ,هولندي,الدمام,,قائمة,,2019
Lebracs rubber lining pvt,هندي,الدمام,,قائمة,,2019
Wika polska ,بولندي,جده,,قائمة,,2019
Travetco ,اجنبيه,جده,,قائمة,,2019
Guangzhou xin jue neng electronic limited,الصين الشعبيه,الرياض,,قائمة,,2019
Top ten fabrics & tailors ltd company,بنجلاديشي,الرياض,,قائمة,,2019
"Sichuan chuanshi diamond bit co.,ltd",الصين الشعبيه,الدمام,,قائمة,,2019
Dalankimyaendustria.s,تركي,الرياض,,قائمة,,2019
Roofa spain co.ltd,اسباني,الرياض,,قائمة,,2019
Hitachi vantara nederland b.v,هولندي,الرياض,,قائمة,,2019
Ultraviolet devices inc,امريكي,الرياض,,قائمة,,2019
Ingresoll rand international limited,ايرلندي,الدمام,,قائمة,,2019
Aims electronics trading,اماراتي,الدمام,,قائمة,,2019
Anchor health & beauty care pvt. ltd,هندي,الرياض,,قائمة,,2019
Medin medical linnovations gmbh,الماني,الدمام,,قائمة,,2019
Raccortubi spa,ايطالي,الدمام,,قائمة,,2019
Germitec,فرنسي,الرياض,,قائمة,,2019
Delmont imaging,فرنسي,الرياض,,قائمة,,2019
Kyowa kirin inc.,امريكي,الرياض,,قائمة,,2019
Systagenix wound management limited,بريطاني,الرياض,,قائمة,,2019
Cosmo -trade for trading ,مصري,الدمام,,قائمة,,2019
Sanabel converting industries,اردني,الدمام,,قائمة,,2019
Cp pumps & systems fze,اماراتي,الدمام,,قائمة,,2019
Centraflow as,نرويجيه,جده,,قائمة,,2019
Zeochem ag ,سويسري,الدمام,,قائمة,,2019
Bed font scientific limited,بريطاني,الدمام,,قائمة,,2019
Ote pharma sol b.v.,هولندي,الرياض,,قائمة,,2019
Septodont,فرنسي,الرياض,,قائمة,,2019
"Qiananshi jintang ductile iron pipes co , ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Pyrocontrole sas,فرنسي,الدمام,,قائمة,,2019
Noraker sarl,فرنسي,الرياض,,قائمة,,2019
Virtuoso consulting  company  ,اماراتي,الرياض,,قائمة,,2019
Ganikderma s.r.l.,ايطالي,الرياض,,قائمة,,2019
Meed skills surgical,باكستاني,الرياض,,قائمة,,2019
Vulcan completion products uk limited,بريطاني,الدمام,,قائمة,,2019
Menbur s.a,اسباني,جده,,قائمة,,2019
Arisglobal limited,ايرلندي,الرياض,,قائمة,,2019
Elanco animal health inc ((elanco)),سويسري,الرياض,,قائمة,,2019
Liqui moly gmbh,الماني,الرياض,,قائمة,,2019
Kiepe srl,ايطالي,الدمام,,قائمة,,2019
Hytorc unex corporation,امريكي,الدمام,,قائمة,,2019
Hetero biopharma limited,هندي,الرياض,,قائمة,,2019
Serim research corporation,امريكي,الرياض,,قائمة,,2019
Asahi kasei medical europe gmbh,الماني,الرياض,,قائمة,,2019
Metalfar prodotti industriali s.p.a,ايطالي,الدمام,,قائمة,,2019
"Shenzhen nito power source technology co., limited",الصين الشعبيه,جده,,قائمة,,2019
Trate ag,سويسري,الرياض,,قائمة,,2019
"Zhejiang semir garmet.,ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Merck serono middle east fz- ltd,اماراتي,الرياض,,قائمة,,2019
Amryt pharmaceuticals dac,ايرلندي,الرياض,,قائمة,,2019
Alk-abello a/s,دنمركيه,الرياض,,قائمة,,2019
Hejawi trading est,اردني,جده,,قائمة,,2019
F a i officine di carvico spa,ايطالي,الدمام,,قائمة,,2019
Spine care technologies,امريكي,الرياض,,قائمة,,2019
Globaltermiology,مصري,جده,,قائمة,,2019
Thermo fisher scientific inc,بريطاني,الرياض,,قائمة,,2019
"Qingdao great creation trading group co,ltd",الصين الشعبيه,الدمام,,قائمة,,2019
Hadeel abualia est,اردني,الرياض,,قائمة,,2019
Malvestio,ايطالي,جده,,قائمة,,2019
"Nq industries, inc",امريكي,الرياض,,قائمة,,2019
Solution4ga sp. zo.o,بولندي,الدمام,,قائمة,,2019
Chint electric co ltd ,الصين الشعبيه,الدمام,,قائمة,,2019
"Tejas  research  & engineering  , llc",امريكي,الدمام,,قائمة,,2019
Stats (uk) ltd.,بريطاني,الرياض,,قائمة,,2019
Yousuf alrustamani investment llc. ,اماراتي,الرياض,,قائمة,,2019
Jfj general trading l.l.c,اماراتي,الرياض,,قائمة,,2019
M & i materials limited,بريطاني,الدمام,,قائمة,,2019
Fliblade ltd,بريطاني,الرياض,,قائمة,,2019
Coreall as ,نرويجيه,الدمام,,قائمة,,2019
Forum us inc,امريكي,الدمام,,قائمة,,2019
Target oilfield services – freezone,مصري,الدمام,,قائمة,,2019
Parmaprogetti s.r.l,ايطالي,الدمام,,قائمة,,2019
"Weifang qiangyuan chemical industr co.,ltd.",الصين الشعبيه,الدمام,,قائمة,,2019
Tata daewoo commercial vahicle  co.ltd,كوريه الجنوبيه,الدمام,,قائمة,,2019
Abiomed europe gmbh,الماني,الرياض,,قائمة,,2019
Anh viet trading -service ,فيتناميه,جده,,قائمة,,2019
Abiogen pharma s.p.a.,ايطالي,الرياض,,قائمة,,2019
Maersk h2s safety services a/s,دنمركيه,الدمام,,قائمة,,2019
Zhe jiang semir garment co ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Siad macchine impianti s..p .a ,ايطالي,الدمام,,قائمة,,2019
Plasticon composites international contracting bv,هولندي,الدمام,,قائمة,,2019
Divasa farmavic s.a,اسباني,الرياض,,قائمة,,2019
Tartan completion systems corporation ,امريكي,الدمام,,قائمة,,2019
"Acell, inc",امريكي,الرياض,,قائمة,,2019
"Milla med, s.a",اسباني,الرياض,,قائمة,,2019
Sterigerms,فرنسي,الدمام,,قائمة,,2019
"Frontrow enterprise philippines, inc",فلبيني,الرياض,,قائمة,,2019
"Packers plus energy services u.s.a ,inc and its affiliates",امريكي,الدمام,,قائمة,,2019
Drgem corporation,كوريه الجنوبيه,الدمام,,قائمة,,2019
"Guangzhou yucaitang cosmetics co.,ltd",الصين الشعبيه,الرياض,,قائمة,,2019
Matrix surgical holdings llc,امريكي,الرياض,,قائمة,,2019
Meksmar natural & healthy products manufacturing & marketing co. ltd,تركي,الرياض,,قائمة,,2019
Ophtec b.v,هولندي,الرياض,,قائمة,,2019
"Murphy pipeline contractors,inc",امريكي,الدمام,,قائمة,,2019
Dana international ou,سويسري,الرياض,,قائمة,,2019
Bio-rad europe gmbh (bio-rad),سويسري,الرياض,,قائمة,,2019
"Weifang qiangyuan chemical industry co., ltd.",الصين الشعبيه,الدمام,,قائمة,,2019
Alliance pharmaceuticals limited,بريطاني,الرياض,,قائمة,,2019
Changshu sanfu chemical co.ltd,الصين الشعبيه,الرياض,,قائمة,,2019
Wat motor sanayi ve tic,تركي,الدمام,,قائمة,,2019
Duxiana\dux international ab,سويديه,الرياض,,قائمة,,2019
Becton dickinson international.,بلجيكي,الرياض,,قائمة,,2019
Moduresources ap pte. ltd,سنغافوريه,الدمام,,قائمة,,2019
Moduresources ap pte.ltd,سنغافوريه,الدمام,,قائمة,,2019
Linnovate technology sdn bhd,ماليزي,الدمام,,قائمة,,2019
Freez ice cream l.l.c,اماراتي,الدمام,,قائمة,,2019
Shenzhen sades digital technology co. ltd.,الصين الشعبيه,الرياض,,قائمة,,2019
Toanthang vet jsc.(eco vet vietnam),فيتناميه,الرياض,,قائمة,,2019
Iwc schaffhausen branch of richemont international sa,سويسري,جده,,قائمة,,2019
Lem compounding research ita srl,ايطالي,الرياض,,قائمة,,2019
Chimique india ltd,هندي,الرياض,,قائمة,,2019
Safadi group international gmbh,الماني,الدمام,,قائمة,,2019
"Osatu , s . coop",اسباني,الرياض,,قائمة,,2019
Carefusion 213 llc,امريكي,الدمام,,قائمة,,2019
Aerazen lab srl,ايطالي,الرياض,,قائمة,,2019
Agrocel industries pvt ltd,هندي,الدمام,,قائمة,,2019
Fertizone m sdn bhd,ماليزي,الرياض,,قائمة,,2019
Kiko s.p.a,ايطالي,الرياض,,قائمة,,2019
J-mark food company,ياباني,الدمام,,قائمة,,2019
Efectis group represented by efectis holding sas,فرنسي,الرياض,,قائمة,,2019
Zimmer biomet cmf and thoracic llc,امريكي,الرياض,,قائمة,,2019
Aco systems fze,اماراتي,الرياض,,قائمة,,2019
"Zotye international automobile trading co., ltd",الصين الشعبيه,جده,,قائمة,,2019
Rhi dinaris gmbh,الماني,الدمام,,قائمة,,2019
Hundai motors company,كوريه الجنوبيه,الرياض,,قائمة,,2019
Molyslip atlantic ltd,بريطاني,الدمام,,قائمة,,2019
Nabulsi house company for sweets and kullaj,اردني,الرياض,,قائمة,,2019
"Provet pharma pvt. ltd,",هندي,الرياض,,قائمة,,2019
Snp poland,بولندي,الدمام,,قائمة,,2019
Well flow international,امريكي,الدمام,,قائمة,,2019
"Shandong tianxin chemical co., ltd",الصين الشعبيه,الدمام,,قائمة,,2019
Aquasys technik gmbh,نمساوي,جده,,قائمة,,2019
Rolex sa,سويسري,جده,,قائمة,,2019
Immedica pharma ab,سويديه,الرياض,,قائمة,,2019
"Weifang qiangyuan chemical industry co., ltd",الصين الشعبيه,الدمام,,قائمة,,2019
Istem medikal tibbi cihaz ve sanayi ltd sti,تركي,الرياض,,قائمة,,2019
Bone support ab,سويديه,الرياض,,قائمة,,2019
Tangshan sanyou zhida calcium industry co. ltd.,الصين الشعبيه,الدمام,,قائمة,,2019
Erhard gmbh & co kg,الماني,الرياض,,قائمة,,2019
Djibouti airlines,شرق افريقيه,الرياض,,قائمة,,2019
Mk france,فرنسي,الرياض,,قائمة,,2019
Bc group international,امريكي,الرياض,,قائمة,,2019
Ufsk-international osys gmbh,الماني,الرياض,,قائمة,,2019
Midici group llc,امريكي,الدمام,,قائمة,,2019
Greenred maketing solutionsgmbh,الماني,الرياض,,قائمة,,2019
"Multice & co , ltd",صينيه وطنيه - تايوان,الرياض,,قائمة,,2019
"Corindus, inc",امريكي,الرياض,,قائمة,,2019
Weifang banghua chemical co ltd,الصين الشعبيه,الدمام,,قائمة,,2019
